"","topic","term","beta"
"1",1,"premier",0.0062131282526163
"2",1,"confinement",0.00527158366269724
"3",1,"19",0.00510159769261278
"4",1,"covid",0.00498347873267549
"5",1,"même",0.00470128496185112
"6",1,"autre",0.00455614874259457
"7",1,"devoir",0.00443373851254562
"8",1,"jour",0.0041998313822543
"9",1,"si",0.00355809300502649
"10",1,"aller",0.0035178237686192
"11",1,"sans",0.00333039802828942
"12",1,"grand",0.00331408722502022
"13",1,"contre",0.00321329547163627
"14",1,"alors",0.00316855622096637
"15",1,"prendre",0.00313388402263209
"16",1,"ministre",0.0030428460913463
"17",1,"épidémie",0.00302138568554394
"18",1,"crise",0.00292737529217845
"19",1,"avant",0.00281652176222642
"20",1,"certain",0.00277436920238457
"21",2,"19",0.00446860213245637
"22",2,"premier",0.00414935369036317
"23",2,"devoir",0.00413830692898492
"24",2,"covid",0.0041318075793889
"25",2,"depuis",0.00396584831226132
"26",2,"nouveau",0.00372753745814216
"27",2,"france",0.00364808977215492
"28",2,"pays",0.0035467876679329
"29",2,"même",0.00334933129829493
"30",2,"juillet",0.0033428947427917
"31",2,"cas",0.00324534453579469
"32",2,"deux",0.00297902862950712
"33",2,"après",0.0029457268907477
"34",2,"an",0.00289325668221694
"35",2,"000",0.00285284327291979
"36",2,"novembre",0.00280001884346496
"37",2,"celui",0.00272595873629407
"38",2,"million",0.00262438284784431
"39",2,"mois",0.00257504009987449
"40",2,"euro",0.002466479630055
"41",3,"covid",0.00526445809991423
"42",3,"président",0.00521432313709375
"43",3,"depuis",0.00501526434421037
"44",3,"nouveau",0.00464316293248549
"45",3,"000",0.00459136203851714
"46",3,"france",0.00457695651437566
"47",3,"mesure",0.00452127594869482
"48",3,"octobre",0.00430685749486179
"49",3,"selon",0.00399487123941396
"50",3,"cas",0.00394918083335313
"51",3,"septembre",0.00387141980291745
"52",3,"deux",0.00376108703312869
"53",3,"entre",0.0035817126442894
"54",3,"après",0.00350568700538008
"55",3,"dernier",0.00338549250499574
"56",3,"même",0.00331730905690578
"57",3,"autre",0.00314502445439951
"58",3,"si",0.00313601973385195
"59",3,"devoir",0.00305557723001125
"60",3,"mois",0.00299704949797905
"61",4,"19",0.00788168805759281
"62",4,"premier",0.00714277464834316
"63",4,"covid",0.00485096927475663
"64",4,"devoir",0.00466284877345096
"65",4,"jour",0.00456291514299361
"66",4,"aller",0.0042632156512673
"67",4,"crise",0.00385673154093659
"68",4,"avant",0.00370770570932476
"69",4,"ministre",0.00362637436511864
"70",4,"confinement",0.00357739879911566
"71",4,"pays",0.0033154213062719
"72",4,"même",0.00329341399233869
"73",4,"sans",0.00317137682077877
"74",4,"santé",0.00315968414474855
"75",4,"mettre",0.00315302657520665
"76",4,"alors",0.00306187603674907
"77",4,"celui",0.00303544453711504
"78",4,"monde",0.00295607097607854
"79",4,"euro",0.00284284509937496
"80",4,"sanitaire",0.00284186201750863
"81",5,"coronavirus",0.00704868427857698
"82",5,"cas",0.00690721358854252
"83",5,"épidémie",0.00627331521160825
"84",5,"mars",0.00590802438326941
"85",5,"pays",0.00514241017182047
"86",5,"france",0.00479283464095815
"87",5,"devoir",0.00446866039017622
"88",5,"mesure",0.00423142174884142
"89",5,"jour",0.00406025771034484
"90",5,"depuis",0.00397949061911817
"91",5,"deux",0.00378418565743896
"92",5,"chine",0.00362624358936447
"93",5,"santé",0.00362411815289125
"94",5,"nouveau",0.00361275221894869
"95",5,"annoncer",0.00357236457182866
"96",5,"virus",0.00330951165089526
"97",5,"covid",0.00327340941008982
"98",5,"prendre",0.00323579468353992
"99",5,"même",0.00318458988341326
"100",5,"après",0.00305480212859785
"101",6,"covid",0.00609970190443662
"102",6,"premier",0.00563837881517137
"103",6,"france",0.00529831133123101
"104",6,"sans",0.00437626048426808
