"","mois","word","n","perc_mois","tf","idf","tf_idf"
"1","2_Février","chine",701,0.499864516037023,0.00499864516037023,0.0870113769896297,0.000434938998486362
"2","2_Février","coronavirus",633,0.451375518760963,0.00451375518760963,0.0870113769896297,0.000392748054267999
"3","2_Février","cas",606,0.432122534548411,0.00432122534548411,0.0870113769896297,0.00037599576759306
"4","10_Octobre","octobre",1373,0.190150929703708,0.00190150929703708,0.182321556793955,0.000346686135293979
"5","2_Février","épidémie",550,0.392190419144597,0.00392190419144597,0.0870113769896297,0.000341250284119114
"6","2_Février","ncov",49,0.0349406009783368,0.000349406009783368,0.8754687373539,0.00030589403820891
"7","2_Février","pays",468,0.333718393017584,0.00333718393017584,0.0870113769896297,0.000290372969032264
"8","2_Février","princess",68,0.0484889972760593,0.000484889972760593,0.538996500732687,0.000261353998558327
"9","2_Février","nouveau",416,0.296638571571186,0.00296638571571186,0.0870113769896297,0.000258109305806457
"10","2_Février","chinois",413,0.294499351103125,0.00294499351103125,0.0870113769896297,0.000256247940620353
"11","2_Février","février",385,0.274533293401218,0.00274533293401218,0.0870113769896297,0.00023887519888338
"12","3_Mars","mars",2675,0.273626217380942,0.00273626217380942,0.0870113769896297,0.000238085939547795
"13","2_Février","virus",378,0.269541778975741,0.00269541778975741,0.0870113769896297,0.000234532013449137
"14","2_Février","santé",375,0.26740255850768,0.0026740255850768,0.0870113769896297,0.000232670648263032
"15","2_Février","wenzhou",13,0.00926995536159957,9.26995536159957e-05,2.484906649788,0.000230349737212767
"16","2_Février","rouet",18,0.0128353228083686,0.000128353228083686,1.79175946922805,0.000229978111824933
"17","10_Octobre","covid",1861,0.257735528170867,0.00257735528170867,0.0870113769896297,0.000224259232052966
"18","9_Septembre","covid",1704,0.248925195349306,0.00248925195349306,0.0870113769896297,0.000216593240147557
"19","12_Décembre","covid",1567,0.247879107129016,0.00247879107129016,0.0870113769896297,0.000215683024382556
"20","10_Octobre","19",1765,0.244440197324869,0.00244440197324869,0.0870113769896297,0.000212690781608536
"21","11_Novembre","covid",1922,0.239999800208283,0.00239999800208283,0.0870113769896297,0.000208827130933587
"22","12_Décembre","19",1513,0.239337006436631,0.00239337006436631,0.0870113769896297,0.000208250424946271
"23","9_Septembre","19",1637,0.239137643654234,0.00239137643654234,0.0870113769896297,0.000208076956644102
